reporting_country,partner_country,year,flow_type,hs_code,product_category,trade_value_usd,reporting_date,exporter_gdp_usd
USA,Germany,2022,import,844021,Machinery,2977461338.0,2022-10-05,4100000000000.0
Germany,USA,2022,export,854262,Electronics,3516342787.0,2022-02-25,4100000000000.0
USA,Germany,2022,import,854262,Electronics,3501760103.0,2022-02-25,4100000000000.0
Germany,USA,2022,export,876242,Vehicles,4995271253.0,2022-09-17,4100000000000.0
USA,Germany,2022,import,876242,Vehicles,5322357695.0,2022-09-17,4100000000000.0
Germany,USA,2022,export,515983,Textiles,2087525372.0,2023-03-19,4100000000000.0
USA,Germany,2022,import,515983,Textiles,2248003574.0,2023-03-19,4100000000000.0
Germany,USA,2023,export,853499,Electronics,16131922.0,2023-04-10,4100000000000.0
USA,Germany,2023,import,853499,Electronics,16265938.0,2023-04-10,4100000000000.0
Germany,USA,2023,export,871877,Vehicles,1939877515.0,2024-02-09,4100000000000.0
USA,Germany,2023,import,871877,Vehicles,2097827222.0,2024-02-09,4100000000000.0
Germany,China,2019,export,845307,Machinery,4647804746.0,2019-10-02,4100000000000.0
China,Germany,2019,import,845307,Machinery,4727813927.0,2019-10-02,4100000000000.0
Germany,China,2019,export,854723,Electronics,91864239.0,2020-03-19,4100000000000.0
China,Germany,2019,import,854723,Electronics,100524140.0,2020-03-19,4100000000000.0
Germany,China,2019,export,874682,Vehicles,2823683066.0,2019-09-05,4100000000000.0
China,Germany,2019,import,874682,Vehicles,2888981716.0,2019-09-05,4100000000000.0
Germany,China,2019,export,510379,Textiles,3712862946.0,2019-09-12,4100000000000.0
China,Germany,2019,import,510379,Textiles,3848739771.0,2019-09-12,4100000000000.0
Germany,China,2020,export,843150,Machinery,3371043238.0,2020-10-26,4100000000000.0
China,Germany,2020,import,843150,Machinery,3590609354.0,2020-10-26,4100000000000.0
Germany,China,2020,export,858520,Electronics,3398524567.0,2020-03-28,4100000000000.0
China,Germany,2020,import,858520,Electronics,3362004600.0,2020-03-28,4100000000000.0
Germany,China,2020,export,873635,Vehicles,2490722794.0,2020-07-16,4100000000000.0
China,Germany,2020,import,873635,Vehicles,2736028180.0,2020-07-16,4100000000000.0
Germany,China,2021,export,858907,Electronics,2827879281.0,2021-12-19,4100000000000.0
China,Germany,2021,import,858907,Electronics,2857870547.0,2021-12-19,4100000000000.0
Germany,China,2021,export,289901,Chemicals,109960900.0,2021-10-06,4100000000000.0
China,Germany,2021,import,289901,Chemicals,118542402.0,2021-10-06,4100000000000.0
Germany,China,2022,export,848560,Machinery,716758216.0,2022-10-01,4100000000000.0
China,Germany,2022,import,848560,Machinery,719045475.0,2022-10-01,4100000000000.0
Germany,China,2022,export,855986,Electronics,2839497915.0,2022-09-19,4100000000000.0
China,Germany,2022,import,855986,Electronics,3003058116.0,2022-09-19,4100000000000.0
Germany,China,2022,export,292160,Chemicals,4024929055.0,2023-02-13,4100000000000.0
China,Germany,2022,import,292160,Chemicals,4392368162.0,2023-02-13,4100000000000.0
Germany,China,2022,export,538879,Textiles,1050417624.0,2022-09-23,4100000000000.0
China,Germany,2022,import,538879,Textiles,1054741593.0,2022-09-23,4100000000000.0
Germany,China,2023,export,849998,Machinery,1335670302.0,2023-10-22,4100000000000.0
China,Germany,2023,import,849998,Machinery,1390182120.0,2023-10-22,4100000000000.0
Germany,China,2023,export,873169,Vehicles,4828383115.0,2023-05-21,4100000000000.0
China,Germany,2023,import,873169,Vehicles,5004996518.0,2023-05-21,4100000000000.0
Germany,China,2023,export,538788,Textiles,939874033.0,2023-03-20,4100000000000.0
China,Germany,2023,import,538788,Textiles,968875601.0,2023-03-20,4100000000000.0
Germany,Japan,2019,export,844382,Machinery,558141557.0,2019-08-09,4100000000000.0
Japan,Germany,2019,import,844382,Machinery,599538303.0,2019-08-09,4100000000000.0
Germany,Japan,2019,export,852977,Electronics,3132373767.0,2019-01-02,4100000000000.0
Japan,Germany,2019,import,852977,Electronics,3176045268.0,2019-01-02,4100000000000.0
Germany,Japan,2019,export,284387,Chemicals,4564385148.0,2019-04-16,4100000000000.0
Japan,Germany,2019,import,284387,Chemicals,4975891836.0,2019-04-16,4100000000000.0
Germany,Japan,2020,export,840022,Machinery,3094362340.0,2021-03-26,4100000000000.0
Japan,Germany,2020,import,840022,Machinery,3234764787.0,2021-03-26,4100000000000.0
Germany,Japan,2020,export,859182,Electronics,235814863.0,2020-02-08,4100000000000.0
Japan,Germany,2020,import,859182,Electronics,238876440.0,2020-02-08,4100000000000.0
Germany,Japan,2020,export,873237,Vehicles,988963090.0,2020-12-25,4100000000000.0
Japan,Germany,2020,import,873237,Vehicles,1013340579.0,2020-12-25,4100000000000.0
Germany,Japan,2020,export,288178,Chemicals,1980879958.0,2020-03-20,4100000000000.0
Japan,Germany,2020,import,288178,Chemicals,2090050802.0,2020-03-20,4100000000000.0
Germany,Japan,2020,export,505490,Textiles,3525336375.0,2020-01-08,4100000000000.0
Japan,Germany,2020,import,505490,Textiles,3560955587.0,2020-01-08,4100000000000.0
Germany,Japan,2021,export,849444,Machinery,2340267985.0,2021-04-01,4100000000000.0
Japan,Germany,2021,import,849444,Machinery,2365130423.0,2021-04-01,4100000000000.0
Germany,Japan,2021,export,850120,Electronics,4174936916.0,2021-12-15,4100000000000.0
Japan,Germany,2021,import,850120,Electronics,4290667772.0,2021-12-15,4100000000000.0
Germany,Japan,2021,export,874474,Vehicles,985697762.0,2021-07-16,4100000000000.0
Japan,Germany,2021,import,874474,Vehicles,1071983170.0,2021-07-16,4100000000000.0
Germany,Japan,2021,export,533783,Textiles,1307919855.0,2021-10-21,4100000000000.0
Japan,Germany,2021,import,533783,Textiles,1381449454.0,2021-10-21,4100000000000.0
Germany,Japan,2022,export,852400,Electronics,1266859900.0,2022-10-16,4100000000000.0
Japan,Germany,2022,import,852400,Electronics,1309938299.0,2022-10-16,4100000000000.0
Germany,Japan,2022,export,878120,Vehicles,4344177181.0,2023-02-13,4100000000000.0
Japan,Germany,2022,import,878120,Vehicles,4436702759.0,2023-02-13,4100000000000.0
Germany,Japan,2022,export,291983,Chemicals,1830279892.0,2022-12-17,4100000000000.0
Japan,Germany,2022,import,291983,Chemicals,1805147184.0,2022-12-17,4100000000000.0
Germany,Japan,2022,export,533904,Textiles,3780487124.0,2022-12-18,4100000000000.0
Japan,Germany,2022,import,533904,Textiles,3969669468.0,2022-12-18,4100000000000.0
Germany,Japan,2023,export,850385,Electronics,3913777802.0,2023-09-07,4100000000000.0
Japan,Germany,2023,import,850385,Electronics,3911956390.0,2023-09-07,4100000000000.0
Germany,Japan,2023,export,874658,Vehicles,308572992.0,2023-03-20,4100000000000.0
Japan,Germany,2023,import,874658,Vehicles,326598618.0,2023-03-20,4100000000000.0
Germany,Japan,2023,export,285748,Chemicals,3747402521.0,2024-02-17,4100000000000.0
Japan,Germany,2023,import,285748,Chemicals,3681069256.0,2024-02-17,4100000000000.0
Germany,Japan,2023,export,513059,Textiles,4810766452.0,2023-07-17,4100000000000.0
Japan,Germany,2023,import,513059,Textiles,5091227197.0,2023-07-17,4100000000000.0
Germany,India,2019,export,841330,Machinery,327779492.0,2019-11-13,4100000000000.0
India,Germany,2019,import,841330,Machinery,334780188.0,2019-11-13,4100000000000.0
Germany,India,2019,export,284334,Chemicals,2593040457.0,2019-12-19,4100000000000.0
India,Germany,2019,import,284334,Chemicals,2838920082.0,2019-12-19,4100000000000.0
Germany,India,2019,export,532552,Textiles,3864884888.0,2019-03-14,4100000000000.0
India,Germany,2019,import,532552,Textiles,3900351967.0,2019-03-14,4100000000000.0
Germany,India,2020,export,840606,Machinery,2782360410.0,2020-06-28,4100000000000.0
India,Germany,2020,import,840606,Machinery,2904609125.0,2020-06-28,4100000000000.0
Germany,India,2020,export,870926,Vehicles,3846247204.0,2020-01-15,4100000000000.0
India,Germany,2020,import,870926,Vehicles,4193794777.0,2020-01-15,4100000000000.0
Germany,India,2020,export,505750,Textiles,1681950683.0,2021-01-18,4100000000000.0
India,Germany,2020,import,505750,Textiles,1752981469.0,2021-01-18,4100000000000.0
Germany,India,2021,export,852753,Electronics,872904346.0,2021-07-15,4100000000000.0
India,Germany,2021,import,852753,Electronics,942538392.0,2021-07-15,4100000000000.0
Germany,India,2021,export,874627,Vehicles,2573035397.0,2021-09-16,4100000000000.0
India,Germany,2021,import,874627,Vehicles,2652276430.0,2021-09-16,4100000000000.0
Germany,India,2021,export,291102,Chemicals,3868676965.0,2021-11-04,4100000000000.0
India,Germany,2021,import,291102,Chemicals,3986788056.0,2021-11-04,4100000000000.0
Germany,India,2022,export,848730,Machinery,2546608737.0,2022-07-08,4100000000000.0
India,Germany,2022,import,848730,Machinery,2639104592.0,2022-07-08,4100000000000.0
Germany,India,2022,export,851426,Electronics,4860296939.0,2022-10-04,4100000000000.0
India,Germany,2022,import,851426,Electronics,4844104709.0,2022-10-04,4100000000000.0
Germany,India,2022,export,289351,Chemicals,2142465701.0,2022-10-07,4100000000000.0
India,Germany,2022,import,289351,Chemicals,2305867872.0,2022-10-07,4100000000000.0
Germany,India,2023,export,840742,Machinery,4489407687.0,2023-02-02,4100000000000.0
India,Germany,2023,import,840742,Machinery,4793407951.0,2023-02-02,4100000000000.0
Germany,India,2023,export,853708,Electronics,2159831099.0,2023-12-27,4100000000000.0
India,Germany,2023,import,853708,Electronics,2147382628.0,2023-12-27,4100000000000.0
Germany,India,2023,export,877832,Vehicles,3839586457.0,2024-03-07,4100000000000.0
India,Germany,2023,import,877832,Vehicles,3856986196.0,2024-03-07,4100000000000.0
Germany,India,2023,export,282288,Chemicals,2921103249.0,2023-03-06,4100000000000.0
India,Germany,2023,import,282288,Chemicals,2995270650.0,2023-03-06,4100000000000.0
Germany,India,2023,export,518919,Textiles,3888391057.0,2024-03-12,4100000000000.0
India,Germany,2023,import,518919,Textiles,4037470069.0,2024-03-12,4100000000000.0
Germany,Brazil,2019,export,845301,Machinery,2483698476.0,2019-09-21,4100000000000.0
Brazil,Germany,2019,import,845301,Machinery,2637539516.0,2019-09-21,4100000000000.0
Germany,Brazil,2019,export,876174,Vehicles,825220629.0,2019-10-04,4100000000000.0
Brazil,Germany,2019,import,876174,Vehicles,838230852.0,2019-10-04,4100000000000.0
Germany,Brazil,2019,export,280846,Chemicals,361746152.0,2019-10-17,4100000000000.0
Brazil,Germany,2019,import,280846,Chemicals,396574713.0,2019-10-17,4100000000000.0
Germany,Brazil,2019,export,536054,Textiles,3490578087.0,2019-05-21,4100000000000.0
Brazil,Germany,2019,import,536054,Textiles,3769841533.0,2019-05-21,4100000000000.0
Germany,Brazil,2020,export,845555,Machinery,1606805932.0,2020-10-16,4100000000000.0
Brazil,Germany,2020,import,845555,Machinery,1670678578.0,2020-10-16,4100000000000.0
Germany,Brazil,2020,export,286582,Chemicals,4083035406.0,2020-07-21,4100000000000.0
Brazil,Germany,2020,import,286582,Chemicals,4071774518.0,2020-07-21,4100000000000.0
Germany,Brazil,2021,export,841353,Machinery,2280557477.0,2021-12-11,4100000000000.0
Brazil,Germany,2021,import,841353,Machinery,2365767144.0,2021-12-11,4100000000000.0
Germany,Brazil,2021,export,855528,Electronics,3889831282.0,2022-03-27,4100000000000.0
Brazil,Germany,2021,import,855528,Electronics,3916178972.0,2022-03-27,4100000000000.0
Germany,Brazil,2022,export,878785,Vehicles,3785442715.0,2022-05-13,4100000000000.0
Brazil,Germany,2022,import,878785,Vehicles,4140757642.0,2022-05-13,4100000000000.0
Germany,Brazil,2022,export,280020,Chemicals,486353609.0,2022-12-07,4100000000000.0
Brazil,Germany,2022,import,280020,Chemicals,501618036.0,2022-12-07,4100000000000.0
Germany,Brazil,2022,export,520762,Textiles,4241478534.0,2023-01-05,4100000000000.0
Brazil,Germany,2022,import,520762,Textiles,4511850528.0,2023-01-05,4100000000000.0
Germany,Brazil,2023,export,846932,Machinery,2402942479.0,2024-02-02,4100000000000.0
Brazil,Germany,2023,import,846932,Machinery,2639102294.0,2024-02-02,4100000000000.0
Germany,Brazil,2023,export,850343,Electronics,1123235762.0,2023-02-01,4100000000000.0
Brazil,Germany,2023,import,850343,Electronics,1205420485.0,2023-02-01,4100000000000.0
Germany,Brazil,2023,export,870037,Vehicles,4391855795.0,2023-10-03,4100000000000.0
Brazil,Germany,2023,import,870037,Vehicles,4750466910.0,2023-10-03,4100000000000.0
Germany,Brazil,2023,export,285610,Chemicals,3348576898.0,2023-03-06,4100000000000.0
Brazil,Germany,2023,import,285610,Chemicals,3354452427.0,2023-03-06,4100000000000.0
Germany,Brazil,2023,export,530452,Textiles,3228138779.0,2023-09-08,4100000000000.0
Brazil,Germany,2023,import,530452,Textiles,3426052922.0,2023-09-08,4100000000000.0
Germany,UK,2019,export,844566,Machinery,880684098.0,2019-08-15,4100000000000.0
UK,Germany,2019,import,844566,Machinery,928031072.0,2019-08-15,4100000000000.0
Germany,UK,2019,export,856384,Electronics,88831954.0,2019-12-15,4100000000000.0
UK,Germany,2019,import,856384,Electronics,93066561.0,2019-12-15,4100000000000.0
Germany,UK,2020,export,846625,Machinery,3599519752.0,2021-03-30,4100000000000.0
UK,Germany,2020,import,846625,Machinery,3791816257.0,2021-03-30,4100000000000.0
Germany,UK,2020,export,854807,Electronics,177384713.0,2020-08-24,4100000000000.0
UK,Germany,2020,import,854807,Electronics,188937336.0,2020-08-24,4100000000000.0
Germany,UK,2020,export,287944,Chemicals,1952947004.0,2020-06-13,4100000000000.0
UK,Germany,2020,import,287944,Chemicals,2082950779.0,2020-06-13,4100000000000.0
Germany,UK,2020,export,536975,Textiles,139207478.0,2020-12-25,4100000000000.0
UK,Germany,2020,import,536975,Textiles,150097103.0,2020-12-25,4100000000000.0
Germany,UK,2021,export,841096,Machinery,4177798990.0,2021-08-14,4100000000000.0
UK,Germany,2021,import,841096,Machinery,4307203116.0,2021-08-14,4100000000000.0
Germany,UK,2021,export,291027,Chemicals,3224217410.0,2021-03-23,4100000000000.0
UK,Germany,2021,import,291027,Chemicals,3340018511.0,2021-03-23,4100000000000.0
Germany,UK,2021,export,526704,Textiles,4502445170.0,2022-02-27,4100000000000.0
UK,Germany,2021,import,526704,Textiles,4512505926.0,2022-02-27,4100000000000.0
Germany,UK,2022,export,850445,Electronics,1471294354.0,2022-10-16,4100000000000.0
UK,Germany,2022,import,850445,Electronics,1485852569.0,2022-10-16,4100000000000.0
Germany,UK,2022,export,871551,Vehicles,167847752.0,2022-12-28,4100000000000.0
UK,Germany,2022,import,871551,Vehicles,170579385.0,2022-12-28,4100000000000.0
Germany,UK,2022,export,294556,Chemicals,1677079820.0,2022-03-09,4100000000000.0
UK,Germany,2022,import,294556,Chemicals,1821764251.0,2022-03-09,4100000000000.0
Germany,UK,2022,export,508219,Textiles,2325447899.0,2022-08-09,4100000000000.0
UK,Germany,2022,import,508219,Textiles,2452489590.0,2022-08-09,4100000000000.0
Germany,UK,2023,export,855113,Electronics,3689036727.0,2024-01-31,4100000000000.0
UK,Germany,2023,import,855113,Electronics,3675967741.0,2024-01-31,4100000000000.0
Germany,UK,2023,export,285574,Chemicals,2615856986.0,2024-01-07,4100000000000.0
UK,Germany,2023,import,285574,Chemicals,2867642824.0,2024-01-07,4100000000000.0
Germany,UK,2023,export,531440,Textiles,1532836595.0,2023-03-25,4100000000000.0
UK,Germany,2023,import,531440,Textiles,1675108666.0,2023-03-25,4100000000000.0
Germany,Canada,2019,export,871472,Vehicles,2750873152.0,2019-01-28,4100000000000.0
Canada,Germany,2019,import,871472,Vehicles,2888799105.0,2019-01-28,4100000000000.0
Germany,Canada,2020,export,846606,Machinery,2926760047.0,2020-06-25,4100000000000.0
Canada,Germany,2020,import,846606,Machinery,2974141216.0,2020-06-25,4100000000000.0
Germany,Canada,2020,export,280310,Chemicals,1325741679.0,2020-11-26,4100000000000.0
Canada,Germany,2020,import,280310,Chemicals,1355710872.0,2020-11-26,4100000000000.0
Germany,Canada,2021,export,857457,Electronics,3245393735.0,2021-05-09,4100000000000.0
Canada,Germany,2021,import,857457,Electronics,3449438801.0,2021-05-09,4100000000000.0
Germany,Canada,2021,export,879323,Vehicles,3802175881.0,2021-07-16,4100000000000.0
Canada,Germany,2021,import,879323,Vehicles,3745340271.0,2021-07-16,4100000000000.0
Germany,Canada,2021,export,292222,Chemicals,393597867.0,2021-05-30,4100000000000.0
Canada,Germany,2021,import,292222,Chemicals,402021496.0,2021-05-30,4100000000000.0
Germany,Canada,2022,export,842520,Machinery,3176868421.0,2022-12-19,4100000000000.0
Canada,Germany,2022,import,842520,Machinery,3206438985.0,2022-12-19,4100000000000.0
Germany,Canada,2022,export,876742,Vehicles,274544913.0,2022-11-17,4100000000000.0
Canada,Germany,2022,import,876742,Vehicles,295386840.0,2022-11-17,4100000000000.0
Germany,Canada,2022,export,284838,Chemicals,3033543702.0,2022-07-10,4100000000000.0
Canada,Germany,2022,import,284838,Chemicals,3236637694.0,2022-07-10,4100000000000.0
Germany,Canada,2023,export,841068,Machinery,3374310902.0,2023-11-09,4100000000000.0
Canada,Germany,2023,import,841068,Machinery,3506449179.0,2023-11-09,4100000000000.0
Germany,Canada,2023,export,858345,Electronics,1041057759.0,2023-05-17,4100000000000.0
Canada,Germany,2023,import,858345,Electronics,1088425370.0,2023-05-17,4100000000000.0
Germany,Canada,2023,export,530967,Textiles,2273987230.0,2024-03-18,4100000000000.0
Canada,Germany,2023,import,530967,Textiles,2268637300.0,2024-03-18,4100000000000.0
Germany,Australia,2019,export,852359,Electronics,1163930110.0,2019-09-14,4100000000000.0
Australia,Germany,2019,import,852359,Electronics,1209929294.0,2019-09-14,4100000000000.0
Germany,Australia,2019,export,879427,Vehicles,4285156582.0,2019-02-18,4100000000000.0
Australia,Germany,2019,import,879427,Vehicles,4594032500.0,2019-02-18,4100000000000.0
Germany,Australia,2019,export,297731,Chemicals,2605508030.0,2019-04-15,4100000000000.0
Australia,Germany,2019,import,297731,Chemicals,2819135370.0,2019-04-15,4100000000000.0
Germany,Australia,2020,export,870812,Vehicles,3418037643.0,2020-07-30,4100000000000.0
Australia,Germany,2020,import,870812,Vehicles,3744304027.0,2020-07-30,4100000000000.0
Germany,Australia,2020,export,288901,Chemicals,521476760.0,2020-01-11,4100000000000.0
Australia,Germany,2020,import,288901,Chemicals,521176291.0,2020-01-11,4100000000000.0
Germany,Australia,2020,export,514693,Textiles,1227411400.0,2020-08-05,4100000000000.0
Australia,Germany,2020,import,514693,Textiles,1212615985.0,2020-08-05,4100000000000.0
Germany,Australia,2021,export,859449,Electronics,3552134199.0,2022-02-26,4100000000000.0
Australia,Germany,2021,import,859449,Electronics,3735123323.0,2022-02-26,4100000000000.0
Germany,Australia,2021,export,879207,Vehicles,4821565050.0,2022-02-27,4100000000000.0
Australia,Germany,2021,import,879207,Vehicles,4972023902.0,2022-02-27,4100000000000.0
Germany,Australia,2021,export,282048,Chemicals,2635552568.0,2021-01-01,4100000000000.0
Australia,Germany,2021,import,282048,Chemicals,2789324306.0,2021-01-01,4100000000000.0
Germany,Australia,2021,export,530865,Textiles,911530690.0,2021-05-15,4100000000000.0
Australia,Germany,2021,import,530865,Textiles,954315995.0,2021-05-15,4100000000000.0
Germany,Australia,2022,export,848165,Machinery,1290017845.0,2022-06-13,4100000000000.0
Australia,Germany,2022,import,848165,Machinery,1386324461.0,2022-06-13,4100000000000.0
Germany,Australia,2022,export,858736,Electronics,619865721.0,2022-06-26,4100000000000.0
Australia,Germany,2022,import,858736,Electronics,665870066.0,2022-06-26,4100000000000.0
Germany,Australia,2022,export,871649,Vehicles,3298703859.0,2023-02-22,4100000000000.0
Australia,Germany,2022,import,871649,Vehicles,3600563842.0,2023-02-22,4100000000000.0
Germany,Australia,2022,export,288504,Chemicals,4798997350.0,2023-03-02,4100000000000.0
Australia,Germany,2022,import,288504,Chemicals,5256303781.0,2023-03-02,4100000000000.0
Germany,Australia,2022,export,510299,Textiles,1917820966.0,2022-04-06,4100000000000.0
Australia,Germany,2022,import,510299,Textiles,2095402939.0,2022-04-06,4100000000000.0
Germany,Australia,2023,export,840020,Machinery,4851990422.0,2024-02-24,4100000000000.0
Australia,Germany,2023,import,840020,Machinery,5306723320.0,2024-02-24,4100000000000.0
Germany,Australia,2023,export,853632,Electronics,1091677844.0,2024-03-25,4100000000000.0
Australia,Germany,2023,import,853632,Electronics,1094411003.0,2024-03-25,4100000000000.0
Germany,Australia,2023,export,877966,Vehicles,661116914.0,2023-09-02,4100000000000.0
Australia,Germany,2023,import,877966,Vehicles,688611993.0,2023-09-02,4100000000000.0
Germany,Australia,2023,export,288066,Chemicals,2755963904.0,2023-07-04,4100000000000.0
Australia,Germany,2023,import,288066,Chemicals,2993906691.0,2023-07-04,4100000000000.0
Germany,Australia,2023,export,517135,Textiles,1396733861.0,2023-10-04,4100000000000.0
Australia,Germany,2023,import,517135,Textiles,1444404717.0,2023-10-04,4100000000000.0
France,Germany,2019,export,849077,Machinery,1689845844.0,2019-09-21,2900000000000.0
Germany,France,2019,import,849077,Machinery,1711229485.0,2019-09-21,2900000000000.0
France,Germany,2019,export,878954,Vehicles,590767129.0,2019-04-11,2900000000000.0
Germany,France,2019,import,878954,Vehicles,649763854.0,2019-04-11,2900000000000.0
France,Germany,2019,export,290940,Chemicals,3575635764.0,2019-10-05,2900000000000.0
Germany,France,2019,import,290940,Chemicals,3744800055.0,2019-10-05,2900000000000.0
France,Germany,2019,export,501575,Textiles,1749077641.0,2020-01-12,2900000000000.0
Germany,France,2019,import,501575,Textiles,1874420189.0,2020-01-12,2900000000000.0
France,Germany,2020,export,841822,Machinery,205937853.0,2020-12-31,2900000000000.0
Germany,France,2020,import,841822,Machinery,223548241.0,2020-12-31,2900000000000.0
France,Germany,2020,export,853360,Electronics,4037072073.0,2020-02-24,2900000000000.0
Germany,France,2020,import,853360,Electronics,4270005823.0,2020-02-24,2900000000000.0
France,Germany,2020,export,876133,Vehicles,4264786727.0,2020-09-14,2900000000000.0
Germany,France,2020,import,876133,Vehicles,4522438059.0,2020-09-14,2900000000000.0
France,Germany,2020,export,284699,Chemicals,2584259454.0,2020-09-16,2900000000000.0
Germany,France,2020,import,284699,Chemicals,2657707094.0,2020-09-16,2900000000000.0
France,Germany,2020,export,523119,Textiles,4673127939.0,2020-07-15,2900000000000.0
Germany,France,2020,import,523119,Textiles,5120868085.0,2020-07-15,2900000000000.0
France,Germany,2021,export,855219,Electronics,4132176114.0,2021-01-10,2900000000000.0
Germany,France,2021,import,855219,Electronics,4294298854.0,2021-01-10,2900000000000.0
France,Germany,2021,export,874285,Vehicles,4975286637.0,2021-04-30,2900000000000.0
Germany,France,2021,import,874285,Vehicles,5192613847.0,2021-04-30,2900000000000.0
