record_index,reporting_country,partner_country,year,issue_type,field,value,note
39,Germany,France,2023,large_mirror_statistics_gap,trade_value_usd,2087399884.0 vs 3398553699.0,"Gap of 62.8% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
40,Germany,France,2023,large_mirror_statistics_gap,trade_value_usd,2087399884.0 vs 3802543767.0,"Gap of 82.2% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
41,Germany,France,2023,large_mirror_statistics_gap,trade_value_usd,2087399884.0 vs 3649276922.0,"Gap of 74.8% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
42,Germany,France,2023,large_mirror_statistics_gap,trade_value_usd,2087399884.0 vs 3890228268.0,"Gap of 86.4% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
43,Germany,France,2023,large_mirror_statistics_gap,trade_value_usd,3467906346.0 vs 2046345356.0,"Gap of 41.0% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
48,Germany,France,2023,large_mirror_statistics_gap,trade_value_usd,3588790153.0 vs 2046345356.0,"Gap of 43.0% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
53,Germany,France,2023,large_mirror_statistics_gap,trade_value_usd,3690304380.0 vs 2046345356.0,"Gap of 44.5% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
58,Germany,France,2023,large_mirror_statistics_gap,trade_value_usd,3813332651.0 vs 2046345356.0,"Gap of 46.3% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
64,Germany,USA,2019,large_mirror_statistics_gap,trade_value_usd,4104386043.0 vs 17928106.0,"Gap of 99.6% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
65,Germany,USA,2019,large_mirror_statistics_gap,trade_value_usd,4104386043.0 vs 1915205162.0,"Gap of 53.3% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
67,Germany,USA,2019,large_mirror_statistics_gap,trade_value_usd,17781213.0 vs 4109541258.0,"Gap of 23011.7% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
69,Germany,USA,2019,large_mirror_statistics_gap,trade_value_usd,17781213.0 vs 1915205162.0,"Gap of 10670.9% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
70,Germany,USA,2019,large_mirror_statistics_gap,trade_value_usd,17781213.0 vs 4632342245.0,"Gap of 25951.9% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
71,Germany,USA,2019,large_mirror_statistics_gap,trade_value_usd,1945354550.0 vs 4109541258.0,"Gap of 111.2% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
72,Germany,USA,2019,large_mirror_statistics_gap,trade_value_usd,1945354550.0 vs 17928106.0,"Gap of 99.1% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
74,Germany,USA,2019,large_mirror_statistics_gap,trade_value_usd,1945354550.0 vs 4632342245.0,"Gap of 138.1% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
76,Germany,USA,2019,large_mirror_statistics_gap,trade_value_usd,4550892498.0 vs 17928106.0,"Gap of 99.6% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
77,Germany,USA,2019,large_mirror_statistics_gap,trade_value_usd,4550892498.0 vs 1915205162.0,"Gap of 57.9% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
80,Germany,USA,2020,large_mirror_statistics_gap,trade_value_usd,1880061822.0 vs 1237055580.0,"Gap of 34.2% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
81,Germany,USA,2020,large_mirror_statistics_gap,trade_value_usd,1880061822.0 vs 3979296102.0,"Gap of 111.7% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
83,Germany,USA,2020,large_mirror_statistics_gap,trade_value_usd,1217451051.0 vs 2048681275.0,"Gap of 68.3% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
85,Germany,USA,2020,large_mirror_statistics_gap,trade_value_usd,1217451051.0 vs 3979296102.0,"Gap of 226.9% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
86,Germany,USA,2020,large_mirror_statistics_gap,trade_value_usd,1217451051.0 vs 1775952240.0,"Gap of 45.9% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
87,Germany,USA,2020,large_mirror_statistics_gap,trade_value_usd,3952461665.0 vs 2048681275.0,"Gap of 48.2% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
88,Germany,USA,2020,large_mirror_statistics_gap,trade_value_usd,3952461665.0 vs 1237055580.0,"Gap of 68.7% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
90,Germany,USA,2020,large_mirror_statistics_gap,trade_value_usd,3952461665.0 vs 1775952240.0,"Gap of 55.1% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
91,Germany,USA,2020,large_mirror_statistics_gap,trade_value_usd,1771440471.0 vs 2048681275.0,"Gap of 15.7% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
92,Germany,USA,2020,large_mirror_statistics_gap,trade_value_usd,1771440471.0 vs 1237055580.0,"Gap of 30.2% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
93,Germany,USA,2020,large_mirror_statistics_gap,trade_value_usd,1771440471.0 vs 3979296102.0,"Gap of 124.6% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
96,Germany,USA,2021,large_mirror_statistics_gap,trade_value_usd,232551436.0 vs 4796074325.0,"Gap of 1962.4% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
97,Germany,USA,2021,large_mirror_statistics_gap,trade_value_usd,232551436.0 vs 2483355907.0,"Gap of 967.9% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
98,Germany,USA,2021,large_mirror_statistics_gap,trade_value_usd,232551436.0 vs 1716925264.0,"Gap of 638.3% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
99,Germany,USA,2021,large_mirror_statistics_gap,trade_value_usd,232551436.0 vs 3203076634.0,"Gap of 1277.4% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
100,Germany,USA,2021,large_mirror_statistics_gap,trade_value_usd,4777237665.0 vs 255355602.0,"Gap of 94.7% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
102,Germany,USA,2021,large_mirror_statistics_gap,trade_value_usd,4777237665.0 vs 2483355907.0,"Gap of 48.0% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
103,Germany,USA,2021,large_mirror_statistics_gap,trade_value_usd,4777237665.0 vs 1716925264.0,"Gap of 64.1% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
104,Germany,USA,2021,large_mirror_statistics_gap,trade_value_usd,4777237665.0 vs 3203076634.0,"Gap of 33.0% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
105,Germany,USA,2021,large_mirror_statistics_gap,trade_value_usd,2495598408.0 vs 255355602.0,"Gap of 89.8% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
106,Germany,USA,2021,large_mirror_statistics_gap,trade_value_usd,2495598408.0 vs 4796074325.0,"Gap of 92.2% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
108,Germany,USA,2021,large_mirror_statistics_gap,trade_value_usd,2495598408.0 vs 1716925264.0,"Gap of 31.2% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
109,Germany,USA,2021,large_mirror_statistics_gap,trade_value_usd,2495598408.0 vs 3203076634.0,"Gap of 28.3% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
110,Germany,USA,2021,large_mirror_statistics_gap,trade_value_usd,1738926084.0 vs 255355602.0,"Gap of 85.3% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
111,Germany,USA,2021,large_mirror_statistics_gap,trade_value_usd,1738926084.0 vs 4796074325.0,"Gap of 175.8% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
112,Germany,USA,2021,large_mirror_statistics_gap,trade_value_usd,1738926084.0 vs 2483355907.0,"Gap of 42.8% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
114,Germany,USA,2021,large_mirror_statistics_gap,trade_value_usd,1738926084.0 vs 3203076634.0,"Gap of 84.2% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
115,Germany,USA,2021,large_mirror_statistics_gap,trade_value_usd,2915904960.0 vs 255355602.0,"Gap of 91.2% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
116,Germany,USA,2021,large_mirror_statistics_gap,trade_value_usd,2915904960.0 vs 4796074325.0,"Gap of 64.5% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
118,Germany,USA,2021,large_mirror_statistics_gap,trade_value_usd,2915904960.0 vs 1716925264.0,"Gap of 41.1% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
121,Germany,USA,2022,large_mirror_statistics_gap,trade_value_usd,2745986873.0 vs 3501760103.0,"Gap of 27.5% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
122,Germany,USA,2022,large_mirror_statistics_gap,trade_value_usd,2745986873.0 vs 5322357695.0,"Gap of 93.8% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
123,Germany,USA,2022,large_mirror_statistics_gap,trade_value_usd,2745986873.0 vs 2248003574.0,"Gap of 18.1% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
124,Germany,USA,2022,large_mirror_statistics_gap,trade_value_usd,3516342787.0 vs 2977461338.0,"Gap of 15.3% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
126,Germany,USA,2022,large_mirror_statistics_gap,trade_value_usd,3516342787.0 vs 5322357695.0,"Gap of 51.4% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
127,Germany,USA,2022,large_mirror_statistics_gap,trade_value_usd,3516342787.0 vs 2248003574.0,"Gap of 36.1% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
128,Germany,USA,2022,large_mirror_statistics_gap,trade_value_usd,4995271253.0 vs 2977461338.0,"Gap of 40.4% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
129,Germany,USA,2022,large_mirror_statistics_gap,trade_value_usd,4995271253.0 vs 3501760103.0,"Gap of 29.9% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
131,Germany,USA,2022,large_mirror_statistics_gap,trade_value_usd,4995271253.0 vs 2248003574.0,"Gap of 55.0% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
132,Germany,USA,2022,large_mirror_statistics_gap,trade_value_usd,2087525372.0 vs 2977461338.0,"Gap of 42.6% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
133,Germany,USA,2022,large_mirror_statistics_gap,trade_value_usd,2087525372.0 vs 3501760103.0,"Gap of 67.7% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
134,Germany,USA,2022,large_mirror_statistics_gap,trade_value_usd,2087525372.0 vs 5322357695.0,"Gap of 155.0% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
137,Germany,USA,2023,large_mirror_statistics_gap,trade_value_usd,16131922.0 vs 2097827222.0,"Gap of 12904.2% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
138,Germany,USA,2023,large_mirror_statistics_gap,trade_value_usd,1939877515.0 vs 16265938.0,"Gap of 99.2% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
141,Germany,China,2019,large_mirror_statistics_gap,trade_value_usd,4647804746.0 vs 100524140.0,"Gap of 97.8% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
142,Germany,China,2019,large_mirror_statistics_gap,trade_value_usd,4647804746.0 vs 2888981716.0,"Gap of 37.8% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
143,Germany,China,2019,large_mirror_statistics_gap,trade_value_usd,4647804746.0 vs 3848739771.0,"Gap of 17.2% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
144,Germany,China,2019,large_mirror_statistics_gap,trade_value_usd,91864239.0 vs 4727813927.0,"Gap of 5046.5% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
146,Germany,China,2019,large_mirror_statistics_gap,trade_value_usd,91864239.0 vs 2888981716.0,"Gap of 3044.8% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
147,Germany,China,2019,large_mirror_statistics_gap,trade_value_usd,91864239.0 vs 3848739771.0,"Gap of 4089.6% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
148,Germany,China,2019,large_mirror_statistics_gap,trade_value_usd,2823683066.0 vs 4727813927.0,"Gap of 67.4% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
149,Germany,China,2019,large_mirror_statistics_gap,trade_value_usd,2823683066.0 vs 100524140.0,"Gap of 96.4% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
151,Germany,China,2019,large_mirror_statistics_gap,trade_value_usd,2823683066.0 vs 3848739771.0,"Gap of 36.3% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
152,Germany,China,2019,large_mirror_statistics_gap,trade_value_usd,3712862946.0 vs 4727813927.0,"Gap of 27.3% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
153,Germany,China,2019,large_mirror_statistics_gap,trade_value_usd,3712862946.0 vs 100524140.0,"Gap of 97.3% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
154,Germany,China,2019,large_mirror_statistics_gap,trade_value_usd,3712862946.0 vs 2888981716.0,"Gap of 22.2% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
158,Germany,China,2020,large_mirror_statistics_gap,trade_value_usd,3371043238.0 vs 2736028180.0,"Gap of 18.8% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
161,Germany,China,2020,large_mirror_statistics_gap,trade_value_usd,3398524567.0 vs 2736028180.0,"Gap of 19.5% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
162,Germany,China,2020,large_mirror_statistics_gap,trade_value_usd,2490722794.0 vs 3590609354.0,"Gap of 44.2% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
163,Germany,China,2020,large_mirror_statistics_gap,trade_value_usd,2490722794.0 vs 3362004600.0,"Gap of 35.0% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
166,Germany,China,2021,large_mirror_statistics_gap,trade_value_usd,2827879281.0 vs 118542402.0,"Gap of 95.8% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
167,Germany,China,2021,large_mirror_statistics_gap,trade_value_usd,109960900.0 vs 2857870547.0,"Gap of 2499.0% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
170,Germany,China,2022,large_mirror_statistics_gap,trade_value_usd,716758216.0 vs 3003058116.0,"Gap of 319.0% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
171,Germany,China,2022,large_mirror_statistics_gap,trade_value_usd,716758216.0 vs 4392368162.0,"Gap of 512.8% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
172,Germany,China,2022,large_mirror_statistics_gap,trade_value_usd,716758216.0 vs 1054741593.0,"Gap of 47.2% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
173,Germany,China,2022,large_mirror_statistics_gap,trade_value_usd,2839497915.0 vs 719045475.0,"Gap of 74.7% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
175,Germany,China,2022,large_mirror_statistics_gap,trade_value_usd,2839497915.0 vs 4392368162.0,"Gap of 54.7% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
176,Germany,China,2022,large_mirror_statistics_gap,trade_value_usd,2839497915.0 vs 1054741593.0,"Gap of 62.9% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
177,Germany,China,2022,large_mirror_statistics_gap,trade_value_usd,4024929055.0 vs 719045475.0,"Gap of 82.1% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
178,Germany,China,2022,large_mirror_statistics_gap,trade_value_usd,4024929055.0 vs 3003058116.0,"Gap of 25.4% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
180,Germany,China,2022,large_mirror_statistics_gap,trade_value_usd,4024929055.0 vs 1054741593.0,"Gap of 73.8% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
181,Germany,China,2022,large_mirror_statistics_gap,trade_value_usd,1050417624.0 vs 719045475.0,"Gap of 31.5% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
182,Germany,China,2022,large_mirror_statistics_gap,trade_value_usd,1050417624.0 vs 3003058116.0,"Gap of 185.9% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
183,Germany,China,2022,large_mirror_statistics_gap,trade_value_usd,1050417624.0 vs 4392368162.0,"Gap of 318.2% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
186,Germany,China,2023,large_mirror_statistics_gap,trade_value_usd,1335670302.0 vs 5004996518.0,"Gap of 274.7% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
187,Germany,China,2023,large_mirror_statistics_gap,trade_value_usd,1335670302.0 vs 968875601.0,"Gap of 27.5% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
188,Germany,China,2023,large_mirror_statistics_gap,trade_value_usd,4828383115.0 vs 1390182120.0,"Gap of 71.2% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
190,Germany,China,2023,large_mirror_statistics_gap,trade_value_usd,4828383115.0 vs 968875601.0,"Gap of 79.9% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
191,Germany,China,2023,large_mirror_statistics_gap,trade_value_usd,939874033.0 vs 1390182120.0,"Gap of 47.9% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
192,Germany,China,2023,large_mirror_statistics_gap,trade_value_usd,939874033.0 vs 5004996518.0,"Gap of 432.5% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
195,Germany,Japan,2019,large_mirror_statistics_gap,trade_value_usd,558141557.0 vs 3176045268.0,"Gap of 469.0% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
196,Germany,Japan,2019,large_mirror_statistics_gap,trade_value_usd,558141557.0 vs 4975891836.0,"Gap of 791.5% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
197,Germany,Japan,2019,large_mirror_statistics_gap,trade_value_usd,3132373767.0 vs 599538303.0,"Gap of 80.9% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
199,Germany,Japan,2019,large_mirror_statistics_gap,trade_value_usd,3132373767.0 vs 4975891836.0,"Gap of 58.9% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
200,Germany,Japan,2019,large_mirror_statistics_gap,trade_value_usd,4564385148.0 vs 599538303.0,"Gap of 86.9% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
201,Germany,Japan,2019,large_mirror_statistics_gap,trade_value_usd,4564385148.0 vs 3176045268.0,"Gap of 30.4% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
204,Germany,Japan,2020,large_mirror_statistics_gap,trade_value_usd,3094362340.0 vs 238876440.0,"Gap of 92.3% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
205,Germany,Japan,2020,large_mirror_statistics_gap,trade_value_usd,3094362340.0 vs 1013340579.0,"Gap of 67.3% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
206,Germany,Japan,2020,large_mirror_statistics_gap,trade_value_usd,3094362340.0 vs 2090050802.0,"Gap of 32.5% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
